key	zh	en	es	fr	de	it	ja	ko	pt-BR	ru
CollectibleItem/CO44_CAPTION	杀手坎尼忽的舟状骨	Navicular of Kahnnyhoo, the Murderer	Navicular de Kahnnyhoo, el Asesino	Naviculaire de Kahnnyhoo, le Meurtrier	Kahnbein von Kahnnyhoo, dem Mörder	Osso navicolare di Kahnnyhoo l'Assassino	殺人者カーニホーの舟状骨	살인자 칸니후의 주상골	Navicular de Kahnnyhoo, o Assassino	Ладьевидная кость убийцы Каньиху
CollectibleItem/CO44_DESCRIPTION	坎尼忽虽然不是很精明，但骗商人和教士上钩还是有两手的，他会杀掉他们，然后拿走他们的财物	Kahnnyhoo, although clumsy, took advantage of his cheerful and jovial demeanour to trick merchants and clergymen, with the intention of killing them and stealing their belongings.	Kahnnyhoo, aunque torpe, supo aprovechar su aspecto alegre y jovial para embaucar a mercaderes y clérigos con la intención de darles muerte y robarles sus pertenencias.	Kahnnyhoo, bien que maladroit, profitait de sa personnalité joviale pour berner les marchands et les prêtres, dans l'intention de les tuer et de voler leurs biens.	Kahnnyhoo, obwohl etwas ungeschickt, wusste sein heiteres und gutmütiges Auftreten zu nutzen, um Kaufleute und Geistliche zu überlisten, die er dann tötete und ausraubte.	Kahnnyhoo, sebbene goffo, sfruttava il proprio aspetto allegro e gioviale per trarre in inganno mercanti ed ecclesiastici, con l'intenzione di ucciderli e rubarne gli averi.	カーニホーは不器用でこそあっ@たが、その明るく朗らかな振る@舞いを利用し、商人や聖職者を@騙して殺し、彼らの所有物を盗@んで暮らしていた。	칸나후는 서툴지만 쾌활하고 유쾌한 성격을 이용해 상인과 성직자를 속이고 이들을 죽여 그 소지품을 빼앗을 생각이었다.	Kahnnyhoo, apesar de desajeitado, aproveitou-se de sua conduta alegre e jovial para enganar mercadores e clérigos com a intenção de matá-los e roubar seus pertences.	Каньиху был довольно неуклюжим, но обладал веселым и жизнерадостным характером, благодаря которому с легкостью обманывал купцов и священников. Потом он их убивал, а вещи забирал себе.
GENERIC/DLG_QUESTION_ASSENT_0	同意吗？	Assent?	¿Asentir?	Accepter ?	Zustimmen?	Vuoi assentire?	同意しますか？	승인하시겠습니까?	Concordar?	Согласиться?
GENERIC/DLG_QUESTION_ASSENT_ANSWER_0	同意	Assent	Asentir	Accepter	Zustimmen	Assenti	同意する	승인	Concordar	Согласиться
GENERIC/DLG_QUESTION_ASSENT_ANSWER_1	拒绝	Dissent	Disentir	Refuser	Nicht zustimmen	Dissenti	拒否する	반대	Discordar	Отказаться
GENERIC/DLG_QUESTION_BUY_0	购买吗？	Buy?	¿Comprar?	Acheter ?	Kaufen?	Vuoi comprare?	買いますか	구매하시겠습니까?	Comprar?	Купить?
GENERIC/DLG_QUESTION_BUY_ANSWER_0	买	Buy	Comprar	Acheter	Kaufen	Compra	買う	구매	Comprar	Купить
GENERIC/DLG_QUESTION_BUY_ANSWER_1	不	No	No	Non	Nein	No	買わない	아니요	Não	Нет
GENERIC/DLG_QUESTION_GIVE_0	给予吗？	Give?	¿Dar?	Donner ?	Geben?	Vuoi consegnare?	渡しますか	주시겠습니까?	Dar?	Отдать?
GENERIC/DLG_QUESTION_GIVE_ANSWER_0	给	Give	Entregar	Donner	Geben	Consegna	渡す	줍니다	Dar	Отдать
GENERIC/DLG_QUESTION_GIVE_ANSWER_1	不	No	No	Non	Nein	No	渡さない	아니요	Não	Нет
GENERIC/DLG_QUESTION_MEACULPA_0	接受孽刃挑战吗？	Accept Mea Culpa challenge?	¿Aceptar desafío de Mea Culpa?	Accepter le défi de Mea Culpa ?	Mea-Culpa-Herausforderung annehmen?	Vuoi accettare la sfida Mea Culpa?	懺悔の剣の試練を受けますか？	메아 쿨파 도전을 수락하시겠습니까?	Aceitar o desafio de Mea Culpa?	Принять вызов Mea Culpa?
GENERIC/DLG_QUESTION_MEACULPA_ANSWER_0	接受	Accept	Aceptar	Accepter	Annehmen	Accetta	受ける	수락	Aceitar	Принять
GENERIC/DLG_QUESTION_MEACULPA_ANSWER_1	拒绝	Reject	Rechazar	Refuser	Ablehnen	Rifiuta	"受けない　"	거절	Rejeitar	Отклонить
GENERIC/DLG_QUESTION_OFFER_0	献上贡品吗？	Make an offering?	¿Hacer una ofrenda?	Faire une offrande ?	Opfer bringen?	Vuoi fare un'offerta?	捧げものをしますか	공물을 바치시겠습니까?	Fazer uma oferenda?	Сделать подношение?
GENERIC/DLG_QUESTION_OFFER_ANSWER_0	献上	Offer	Ofrecer	Faire une offrande	Opfern	Offri	捧げる	네	Ofertar	Сделать
GENERIC/DLG_QUESTION_OFFER_ANSWER_1	不	No	No	Non	Nein	No	捧げない	아니요	Não	Нет
GENERIC/DLG_QUESTION_YESNO_0	接受吗？	Accept?	¿Aceptar?	Accepter ?	Annehmen?	Vuoi accettare?	いいですか？	수락하시겠습니까?	Aceitar?	Принять?
GENERIC/DLG_QUESTION_YESNO_ANSWER_0	是	Yes	Sí	Oui	Ja	Sì	はい	네	Sim	Да
GENERIC/DLG_QUESTION_YESNO_ANSWER_1	不	No	No	Non	Nein	No	いいえ	아니요	Não	Нет
GENERIC/MSG_NOANSWER_0	没有回答	No answer.	Sin respuesta.	Pas de réponse.	Keine Antwort.	Nessuna risposta.	返答はない。	대답이 없습니다.	Sem resposta.	Нет ответа.
GENERIC/MSG_NOOFFERINGS_0	你没有可用的贡品	You have no available offerings.	No tienes ofrendas disponibles.	Vous n'avez aucune offrande disponible.	Ihr habt keine verfügbaren Opfer.	Non hai offerte disponibili.	捧げる物がない。	이용 가능한 공물이 없습니다.	Você não tem oferendas disponíveis.	У вас нет доступных подношений.
GENERIC/MSG_NOTENOUGHSAP_0	你没有足够的赎罪之泪	You don't have enough Tears of Atonement.	No tienes suficientes Lágrimas de Enmienda.	Vous n'avez pas assez de Larmes d'expiation.	Ihr habt nicht genug Tränen der Abbitte.	Non hai Lacrime di Redenzione a sufficienza.	償いの涙が不足している。	속죄의 눈물이 부족합니다.	Você não tem Lágrimas de Redenção suficientes.	У вас недостаточно слез искупления.
GENERIC/MSG_NOTHINGHAPPENED_0	无事发生	Nothing happened.	No ocurre nada.	Il ne s'est rien passé.	Nichts ist geschehen.	Non accade nulla.	何も起きなかった。	아무 일도 일어나지 않았습니다.	Nada aconteceu.	Ничего не произошло.
GENERIC/QUESTION_ACTIVATE_0	激活吗？	Activate?	¿Activar?	Activer ?	Aktivieren?	Vuoi attivare?	起動しますか？	작동시키시겠습니까?	Ativar?	Активировать?
GENERIC/QUESTION_ACTIVATE_ANSWER_0	激活	Activate	Activar	Activer	Aktivieren	Attiva	起動する	작동	Ativar	Активировать
GENERIC/QUESTION_ACTIVATE_ANSWER_1	不	No	No	Non	Nein	No	起動しない	아니요	Não	Нет
GENERIC/QUESTION_LIGHT_0	点亮？	Light up?	¿Encender?	Allumer ?	Anzünden?	Vuoi accendere?	火を付けますか？	불을 밝힐까요?	Acender?	Зажечь?
GENERIC/QUESTION_LIGHT_ANSWER_0	点亮	Light up	Encender	Allumer	Anzünden	Accendi	付ける	불을 밝힙니다	Acender	Зажечь
GENERIC/QUESTION_LIGHT_ANSWER_1	不点亮	Don't light up	No encender	Ne pas allumer	Nicht anzünden	Non accendere	付けない	불을 밝히지 않습니다	Não acender	Не зажигать
GENERIC/QUESTION_USE_0	使用？	Use?	¿Usar?	Utiliser ?	Verwenden?	Vuoi utilizzare?	使用しますか？	사용할까요?	Usar?	Использовать?
GENERIC/QUESTION_USE_ANSWER_0	使用	Use	Usar	Utiliser	Verwenden	Utilizza	使用する	사용	Usar	Использовать
GENERIC/QUESTION_USE_ANSWER_1	不使用	Don't use	No usar	Ne pas utiliser	Nicht verwenden	Non utilizzare	使用しない	사용 안 함	Não usar	Не использовать
Map/D01	城郊	Suburbs	Arrabales	Faubourgs	Randbezirke	Sobborghi	郊外	교외	Subúrbios	Окраины
Map/D01_Z01	圣途	The Holy Line	La Santa Línea	La Ligne sainte	Die Heilige Linie	La Santa Via	聖線	거룩한 길	A Linha Sagrada	Священный Путь
Map/D01_Z02	阿尔贝罗	Albero	Albero	Albero	Albero	Albero	アルベロ	알베로	Albero	Альберо
Map/D01_Z03	葬堂荒野	Wasteland of the Buried Churches	Yermo de las Iglesias Enterradas	Landes des Églises inhumées	Ödnis der Begrabenen Kirchen	Terre desolate delle Chiese sepolte	教会廃墟の荒野	파묻힌 교회의 황무지	Ermo das Igrejas Sepultadas	Пустошь сожженных церквей
Map/D01_Z04	慈悲梦境	Mercy Dreams	Tumba de la Misericordia	Songes de pitié	Träume des Erbarmens	Sogni di Misericordia	慈悲なる夢	자비로운 꿈	Sonhos de Misericórdia	Сны о милосердии
Map/D01_Z05	亵渎之池	Desecrated Cistern	Aljibe Profanado	Citerne profanée	Entweihte Zisterne	Cisterna sconsacrata	冒涜の貯水路	훼손된 수조	Poço Profanado	Оскверненная цистерна
Map/D01_Z06	坚如磐石	Petrous	Pétrea	Pierreuse	Versteinert	Petrosa	錐体	바위 지대	Pétrea	Каменный
Map/D02	封禁修道院	Enclosed Convent	Alta Clausura	Cloître	Umschlossener Konvent	Convento di Clausura	封鎖された修道院	고립된 수녀원	Santa Clausura	Закрытый монастырь
Map/D02_Z01	橄榄枯萎之地	Where Olive Trees Wither	Donde se Marchitan los Olivos	Où se meurent les oliviers	Wo die Olivenbäume verdorren	Dove muoiono gli Ulivi	オリーブの枯畑	올리브 나무가 시드는 곳	Onde as Oliveiras Secam	Там, где сохнут оливковые деревья
Map/D02_Z02	群峰墓地	Graveyard of the Peaks	Camposanto de las Cumbres	Cimetière des cimes	Friedhof auf den Gipfeln	Camposanto delle Sommità	山頂墓地	정상의 묘지	Picos Fúnebres	Кладбище горных вершин
Map/D02_Z03	焦容圣母修道院	Convent of Our Lady of the Charred Visage	Convento de la Faz Denegrida	Couvent de Notre-Dame au Visage Calciné	Konvent Unserer Dame mit dem Verbrannten Antlitz	Convento di Nostra Signora dal Volto Sfigurato	『焦貌の聖女』修道院	불탄 얼굴의 성모 수녀원	Convento de Nossa Senhora da Face Chamuscada	Монастырь Владычицы нашей с ликом опаленным
Map/D02_Z04	焦容圣母修道院	Convent of Our Lady of the Charred Visage	Convento de la Faz Denegrida	Couvent de Notre-Dame au Visage Calciné	Konvent Unserer Dame mit dem Verbrannten Antlitz	Convento di Nostra Signora dal Volto Sfigurato	『焦貌の聖女』修道院	불탄 얼굴의 성모 수녀원	Convento de Nossa Senhora da Face Chamuscada	Монастырь Владычицы нашей с ликом опаленным
Map/D02_Z05	群峰墓地	Graveyard of the Peaks	Camposanto de las Cumbres	Cimetière des cimes	Friedhof auf den Gipfeln	Camposanto delle Sommità	山頂墓地	정상의 묘지	Picos Fúnebres	Кладбище горных вершин
Map/D03	青铜边境	The Bronze Frontier	La Frontera de Bronce	La Frontière d'airain	Die Bronzene Grenze	La Frontiera di Bronzo	青銅辺境	청동의 개척지	A Fronteira de Bronze	Бронзовый предел
Map/D03_Z01	无尽黄昏山脉	Mountains of The Endless Dusk	Serranía del Ocaso Perpetuo	Monts de l'Éternel crépuscule	Berge der Endlosen Dämmerung	Montagne del Crepuscolo eterno	終わりなき黄昏山脈	끝없는 황혼의 산맥	Montanhas do Crepúsculo Eterno	Горы бесконечных сумерек
Map/D03_Z02	洪多	Jondo	Jondo	Jondo	Jondo	Jondo	ホンド	혼도	Jondo	Хондо
Map/D03_Z03	怨念之崖	Grievance Ascends	"Asciende El Quejido "	Escarpements de la complainte	Aufstieg der Klage	La Doglianza ascende	怨嗟の縦穴	솟구치는 비탄	Ascensão da Mágoa	Восход лишений
Map/D03_Z04	怨念之崖	Grievance Ascends	"Asciende El Quejido "	Escarpements de la complainte	Aufstieg der Klage	La Doglianza ascende	怨嗟の縦穴	솟구치는 비탄	Ascensão da Mágoa	Восход лишений
Map/D03_Z05	怨念之崖	Grievance Ascends	"Asciende El Quejido "	Escarpements de la complainte	Aufstieg der Klage	La Doglianza ascende	怨嗟の縦穴	솟구치는 비탄	Ascensão da Mágoa	Восход лишений
Map/D04	万母之母	Mother of Mothers	Madre de Madres	Mère des Mères	Mutter aller Mütter	Madre delle Madri	万母の母	성모들의 성모	Mãe de Todas as Mães	Мать матерей
Map/D04_Z01	静默台阶庭院	Patio of the Silent Steps	Patio de los Caminares Sordos	Cour des Pas silencieux	Patio der Leisen Schritte	Patio dei Passi silenti	静寂の中庭	조용한 발걸음의 안뜰	Pátio dos Passos Silenciosos	Двор неслышных шагов
Map/D04_Z02	万母之母	Mother of Mothers	Madre de Madres	Mère des Mères	Mutter aller Mütter	Madre delle Madri	万母の母	성모들의 성모	Mãe de Todas as Mães	Мать матерей
Map/D04_Z03	三字之结	Knot of the Three Words	Nudo de las Tres Palabras	Nœud des Trois mots	Knoten der Drei Wörter	Nodo delle Tre Parole	三語の結び目	세 단어의 매듭	Nó das Três Palavras	Узел трех слов
Map/D04_Z04	海津之泪	All the Tears of the Sea	Todas las Lágrimas del Mar	Toutes les larmes de la mer	Alle Tränen des Meeres	Tutte le Lacrime del Mare	海原の悲嘆	모든 바다의 눈물	Todas as Lágrimas do Mar	Все слезы моря
Map/D05	低阶教义	Low Creeds	Bajos Credos	Préceptes mineurs	Unteres Bekenntnis	Credi inferiori	下等信条	낮은 교리	Credos Inferiores	Слабость веры
Map/D05_Z01	无言图书馆	Library of the Negated Words	Biblioteca de las Palabras Negadas	Bibliothèque des Mots niés	Bibliothek der Verneinten Worte	Biblioteca delle Parole bandite	禁書の図書館	부정한 언어의 도서관	Biblioteca das Palavras Proibidas	Библиотека опровергнутых слов
Map/D05_Z02	沉睡画布	The Sleeping Canvases	Los Lienzos Durmientes	Les Toiles assoupies	Die Schlafenden Leinwände	Le Tele dormienti	眠れる画廊	잠자는 화방	As Telas Adormecidas	Спящие холсты
Map/D05_Z03	沉睡画布	The Sleeping Canvases	Los Lienzos Durmientes	Les Toiles assoupies	Die Schlafenden Leinwände	Le Tele dormienti	眠れる画廊	잠자는 화방	As Telas Adormecidas	Спящие паруса
Map/D05_Z04	沉睡画布	The Sleeping Canvases	Los Lienzos Durmientes	Les Toiles assoupies	Die Schlafenden Leinwände	Le Tele dormienti	眠れる画廊	잠자는 화방	As Telas Adormecidas	Спящие паруса
Map/D06	大教堂屋顶	Archcathedral Rooftops	Altos de la Archicatedral	Toits de l'archicathédrale	Dächer der Erzkathedrale	Tetto dell'Arcicattedrale	大聖堂　屋上	대성당 옥상	Telhados da Catedral-Mor	Крыши архикафедрального собора
Map/D06_Z01	大教堂屋顶	Archcathedral Rooftops	Altos de la Archicatedral	Toits de l'archicathédrale	Dächer der Erzkathedrale	Tetto dell'Arcicattedrale	大聖堂　屋上	대성당 옥상	Telhados da Catedral-Mor	Крыши архикафедрального собора
Map/D07	圣王回廊	Deambulatory of His Holiness	Deambulatorio de Su Santidad	Déambulatoire de Sa Sainteté	Wandelpfad Seiner Heiligkeit	Deambulatorio di Sua Santità	教皇の回廊	교황 성하의 대회랑	Deambulatório de Sua Santidade	Деамбулаторий Его Святейшества
Map/D07_Z01	圣王回廊	Deambulatory of His Holiness	Deambulatorio de Su Santidad	Déambulatoire de Sa Sainteté	Wandelpfad Seiner Heiligkeit	Deambulatorio di Sua Santità	教皇の回廊	교황 성하의 대회랑	Deambulatório de Sua Santidade	Деамбулаторий Его Святейшества
Map/D08	骷髅地桥	Bridge of the Three Calvaries	Puente de los Tres Calvarios	Pont du calvaire	Brücke der Drei Kalvarien	Ponte del Calvario	三試練の橋	갈보리의 다리	Ponte do Calvário	Мост Страстей Господних
Map/D08_Z01	骷髅地桥	Bridge of the Three Calvaries	Puente de los Tres Calvarios	Pont du calvaire	Brücke der Drei Kalvarien	Ponte del Calvario	三試練の橋	갈보리의 다리	Ponte do Calvário	Мост Страстей Господних
Map/D08_Z02	环刚铁木	Ferrous Tree	Árbol Férreo	Arbre ferreux	Eiserner Baum	Albero ferroso	鋼鉄なる樹	철의 나무	Árvore Ferrosa	Железное древо
Map/D08_Z03	黎明大厅	Hall of the Dawning	Galería de los Albores	Salle de l'aube	Halle der Dämmerung	Sala degli albori	黎明の広場	여명의 전당	Salão da Aurora	Зал утренней зари
Map/D09	神圣禁忌之墙	Wall of the Holy Prohibitions	Muralla de las Santas Prohibiciones	Mur des Saintes prohibitions	Mauer der Heiligen Untersagungen	Muro delle Sacre Proibizioni	聖禁の壁	신성한 금령의 벽	Muralha dos Vetos Sagrados	Стена Священных запретов
Map/D09_Z01	神圣禁忌之墙	Wall of the Holy Prohibitions	Muralla de las Santas Prohibiciones	Mur des Saintes prohibitions	Mauer der Heiligen Untersagungen	Muro delle Sacre Proibizioni	聖禁の壁	신성한 금령의 벽	Muralha dos Vetos Sagrados	Стена Священных запретов
Map/D17	默哀同道会	Brotherhood of the Silent Sorrow	Hermandad del Lamento Mudo	Confrérie du Chagrin silencieux	Bruderschaft der Stummen Trauer	Confraternita del Lamento silente	『黙する悲哀』修道院	침묵의 비탄 형제단	Irmandade do Pesar Silencioso	Братство безмолвной печали
Map/D17_Z01	默哀同道会	Brotherhood of the Silent Sorrow	Hermandad del Lamento Mudo	Confrérie du Chagrin silencieux	Bruderschaft der Stummen Trauer	Confraternita del Lamento silente	『黙する悲哀』修道院	침묵의 비탄 형제단	Irmandade do Pesar Silencioso	Братство безмолвной печали
Map/D20	雪盐回响	Echoes of Salt	Ecos de Sal	Échos du sel	Echos von Salz	Echi di sale	塩の残響	소금의 메아리	Ecos de Sal	Отголоски соли
Map/D20_Z01	雪盐回响	Echoes of Salt	Ecos de Sal	Échos du sel	Echos von Salz	Echi di sale	塩の残響	소금의 메아리	Ecos de Sal	Отголоски соли
Map/D20_Z02	哀伤与浩劫	Mourning and Havoc	Luto y Estrago	Deuil et carnage	Trauer und Chaos	Lutto e Caos	哀悼と破滅	애도와 혼란	Luto e Destruição	Скорбь и разорение
Map/D20_Z03	姐妹眠处	The Resting Place of the Sister	Reposo de la Hermana	Le dernier repos de la Sœur	Die Ruhestätte der Schwester	Il Luogo di Riposo della Sorella	妹が眠りし地	자매의 안식처	O Local de Descanso da Irmã	Место покоя сестры
PROPS/DLG_CONFESSOR_NOTENOUGHPURGE_0	当拥有足够的赎罪之泪时返回	Come back when you have enough Tears of Atonement.	Volved cuando poseáis suficientes Lágrimas de Enmienda.	Revenez lorsque vous aurez assez de Larmes d'expiation.	Kommt zurück, wenn Ihr genug Tränen der Abbitte habt.	Tornate quando avrete abbastanza Lacrime di Redenzione.	償いの涙を集める必要がある	속죄의 눈물을 더 구하면 돌아오세요.	Volte quando tiver Lágrimas de Redenção suficientes.	Возвращайтесь, когда наберете достаточно слез искупления.
PROPS/DLG_QT_ALTARDEMAKE_0	想要进行游戏换取{purgepoints}	Play a game in exchange for {purgepoints}	¿Echar una partida a cambio de {purgepoints}	Jouer une partie en échange de {purgepoints}	Ein Spiel im Austausch gegen {purgepoints} spielen	Vuoi giocare una partita in cambio di {purgepoints}	{purgepoints} 消費してゲームをプレイしますか	{purgepoints}와(과) 교환하여 게임을 진행하시겠습니까	Jogar em troca de {purgepoints}	Сыграть в обмен на {purgepoints}
PROPS/DLG_QT_BAPTISMAL_DRINK_0	用朝圣者油膏涂抹自己？	Anoint yourself with the Oil of the Pilgrims?	¿Ungirse con el Óleo de los Peregrinos?	Vous oindre de l'Huile des pèlerins ?	Wollt Ihr Euch mit dem Öl der Pilger salben?	Vuoi ungerti con l'Olio dei Pellegrini?	巡礼者の聖油で身を清めますか？	순례자의 기름을 바르시겠습니까?	Ungir-se com o Bálsamo dos Peregrinos?	Умастить себя маслом паломников?
PROPS/DLG_QT_BAPTISMAL_DRINK_ANSWER_0	涂抹	Anoint	Ungirse	Oindre	Salben	Ungiti	清める	바릅니다	Ungir	Умастить
PROPS/DLG_QT_BAPTISMAL_DRINK_ANSWER_1	不	No	No	Non	Nein	No	清めない	아니요	Não	Нет
PROPS/DLG_QT_CONFESSOR_0	洗清你的罪过，换得{purgepoints}	Cleanse your guilt in exchange for {purgepoints}	¿Limpiar tu culpa a cambio de {purgepoints}	Pour expier votre culpabilité, utilisez {purgepoints}	Eure Schuld tilgen im Austausch gegen {purgepoints}	Vuoi espiare la tua Colpa in cambio di {purgepoints}	{purgepoints} 消費して罪過を浄化しますか	다음을 주고 죄책감을 씻으시겠습니까 {purgepoints}	Purificar sua culpa em troca de {purgepoints}	Очиститься от вины в обмен на {purgepoints}
PROPS/DLG_QUOTE_0	「升起的不是太阳，而是我们的罪。」	"""It is not the sun rising, but our sins."""	"""No amanece el sol sino nuestros pecados."""	« Ce n'est pas le soleil qui se lève, mais nos péchés. »	„Es ist nicht die Sonne, die aufsteigt, es sind unsere Sünden.“	Non è il sole a sorgere, ma i nostri peccati.	「天に昇るは太陽でなく 我らが罪業なり」	떠오르는 건 태양이 아니라, 우리의 죄다.	Não é o sol que está surgindo, mas nossos pecados.	«Это не солнце восходит, но грехи наши»,
PROPS/DLG_QUOTE_1	-无名氏	-Anonymous	-Anónimo	-Anonyme	– Anonym	-Anonimo	―匿名	-익명	- Anônimo	– анонимный автор
PROPS/MSG_BAPTISMAL_0	信仰最大值已增加	The maximum amount of fervour has been increased.	El fervor máximo ha aumentado.	La quantité maximale de ferveur a été augmentée.	Maximale Inbrunst wurde erhöht.	Il limite massimo di Fervore è stato aumentato.	熱情の最大量が上昇した。	최대 열정의 양이 증가했습니다.	A quantia máxima de fervor aumentou.	Максимальный запас рвения увеличен.
PROPS/MSG_CONFESSOR_GUILTREMOVED_0	罪过已赎清	Guilt has been expiated.	La Culpa ha sido expiada.	La culpabilité a été expiée.	Schuld wurde gesühnt.	La Colpa è stata espiata.	罪過は取り除かれた。	속죄했습니다.	A Culpa foi expiada.	Вина искуплена.
PROPS/MSG_CONFESSOR_NOGUILT_0	你摆脱了罪过	You are rid of Guilt.	Estáis libre de Culpa.	Vous n'avez plus de culpabilité.	Ihr seid frei von Schuld.	La vostra Colpa è stata lavata.	背負いし罪過はない。	죄책감이 사라졌습니다.	Você está livre da Culpa.	Вы избавились от Вины.
PROPS/MSG_ELEVATOR_NOTWORKING_0	此机械需要钥匙来进行操作	The mechanism requires a key to operate.	El mecanismo requiere una llave para funcionar.	Il faut une clé pour activer ce mécanisme.	Für diesen Mechanismus braucht Ihr einen Schlüssel.	Affinché il meccanismo funzioni, serve una chiave.	仕掛けを起動するには鍵が必要だ。	작동하려면 열쇠가 필요합니다.	Você precisa de uma chave para operar o mecanismo.	Чтобы запустить этот механизм, необходим ключ.
PROPS/MSG_FERVOR_TUTORIAL_0	攻击敌人以填充信仰读条	Attack enemies to fill the Fervour bar.	Ataca a enemigos para rellenar la barra de Fervor.	Attaquez vos ennemis pour remplir la barre de ferveur.	Greift Feinde an, um die Inbrunst-Leiste zu füllen.	Attacca i nemici per riempire la barra del Fervore.	敵を攻撃すると熱情が溜まる。	적을 공격해 열정 바를 채우십시오.	Ataque inimigos para encher a barra de Fervor.	Атакуйте противников, чтобы заполнить полоску рвения.
PROPS/MSG_HEART_WARNING_0	纯绝孽刃之心在你的手中颤抖	The Apodictic Heart of Mea Culpa trembles in your hand.	El Apodíctico Corazón de Mea Culpa tiembla en tu mano.	Le Cœur apodictique de Mea Culpa tremble entre vos mains.	Das Apodiktische Herz von Mea Culpa zittert in Euren Händen.	Il Cuore apodittico del Mea Culpa trema nella tua mano.	懺悔の剣の誠なる心臓が手の中で震えている。	진정한 메아 쿨파의 심장이 손 안에서 뛰고 있습니다.	O Coração Apodíctico da Mea Culpa treme em suas mãos.	Неопровержимое сердце Mea Culpa дрожит в твоей руке.
PROPS/MSG_ITEM_TUTORIAL_0	为使用此祷文，请开启库存并装备它	In order to use this prayer, open the inventory and equip it.	Para utilizar este rezo, abre el inventario y equípalo.	Pour utiliser cette prière, ouvrez votre inventaire pour vous en équiper.	Um dieses Gebet zu nutzen, müsst Ihr das Inventar öffnen und es ausrüsten.	Per utilizzare questa preghiera, apri l'inventario ed equipaggiala.	祈詞を使用するには、インベントリで祈詞を装備する必要がある。	이 기도문을 사용하려면 인벤토리를 열어 장착해야 합니다.	Para usar esta oração, abra o inventário e equipe-a.	Чтобы использовать эту молитву, откройте окно снаряжения и перенесите ее в ячейку применения.
PROPS/MSG_LIBRARYPUZZLE1_0	一本打开的解剖书，该页显示了股骨的插图	An anatomy book, open. The page shows the illustration of a femur.	Un libro de anatomía abierto. Su página muestra la ilustración de un fémur.	Un livre d'anatomie, ouvert sur l'illustration d'un fémur.	Ein Anatomiebuch, geöffnet. Die Seite zeigt die Abbildung eines Oberschenkelknochens.	Un libro di anatomia aperto. Nella pagina è raffigurato un femore.	解剖学の本だ。大腿骨の図が描かれたページが開かれている。	해부학책이 열렸습니다. 페이지에 대퇴골 그림이 보입니다.	Um livro aberto de anatomia. A página contém a ilustração de um fêmur.	Открытая книга по анатомии. На этой странице изображена бедренная кость.
PROPS/MSG_LIBRARYPUZZLE2_0	一本打开的解剖书，该页显示了膝盖骨的插图	An anatomy book, open. The page shows the illustration of a kneecap.	Un libro de anatomía abierto. Su página muestra la ilustración de una rótula.	Un livre d'anatomie, ouvert sur l'illustration d'une rotule.	Ein Anatomiebuch, geöffnet. Die Seite zeigt die Abbildung einer Kniescheibe.	Un libro di anatomia aperto. Nella pagina è raffigurata una rotula.	解剖学の本だ。膝蓋骨の図が描かれたページが開かれている。	해부학책이 열렸습니다. 페이지에 슬개골 그림이 보입니다.	Um livro aberto de anatomia. A página contém a ilustração de uma patela.	Открытая книга по анатомии. На этой странице изображена коленная чашечка.
PROPS/MSG_LIBRARYPUZZLE3_0	一本打开的解剖书，该页显示了胫骨的插图	An anatomy book, open. The page shows the illustration of a tibia.	Un libro de anatomía abierto. Su página muestra la ilustración de una tibia.	Un livre d'anatomie, ouvert sur l'illustration d'un tibia.	Ein Anatomiebuch, geöffnet. Die Seite zeigt die Abbildung eines Schienbeins.	Un libro di anatomia aperto. Nella pagina è raffigurata una tibia.	解剖学の本だ。脛骨の図が描かれたページが開かれている。	해부학책이 열렸습니다. 페이지에 정강이뼈 그림이 보입니다.	Um livro aberto de anatomia. A página contém a ilustração de uma tíbia.	Открытая книга по анатомии. На этой странице изображена большая берцовая кость.
PROPS/MSG_MEACULPA_TUTORIAL_0	与孽刃祭坛互动来解锁你的技能	Interact with the altar of Mea Culpa to unlock your skills.	Interacciona con el altar de Mea Culpa para desbloquear tus habilidades.	Interagissez avec l'autel de Mea Culpa pour débloquer vos compétences.	Interagiert mit dem Altar von Mea Culpa, um Eure Fertigkeiten freizuschalten.	Interagisci con l'Altare del Mea Culpa per sbloccare le tue abilità.	懺悔の剣の祭壇では、スキルを解放することができる。	메아 쿨파 제단을 사용해 스킬을 잠금 해제하세요.	Interaja com o altar de Mea Culpa para desbloquear suas habilidades.	Помолитесь у алтаря Mea Culpa, чтобы разблокировать новые навыки.
PROPS/MSG_SANTOS_CAVE_0	石化之钟凄凉地敲响了。	The Petrified Bell tolls dolorously.	La Campanilla petrificada emite un sonido.	La sonnerie de la Cloche pétrifiée est cuisante.	Die Versteinerte Glocke läutet erfüllt von Schmerz.	La Campanula pietrificata suona dolorosamente.	石化した風鈴草が悲しげな音を響かせている。@@	석화된 종이 비통하게 울린다.	O Sino Petrificado toca dolorosamente.	Окаменелый колокольчик звенит печально.
Prayer/PR01_CAPTION	星目颂歌	Següiriya to your Eyes like Stars	Següiriya a Tus Luceros	Següiriya, à tes yeux comme des étoiles	Següiriya an deine sternengleichen Augen	Següiriya ai tuoi occhi come stelle	星の双眼に贈るシギリージャ	별빛 같은 눈동자에 바치는 세기리야	Següiriya para teus Olhos Brilhantes	Сигирийя твоим глазам, подобным звездам
