key	zh	en	es
QuestItem/QI103_LORE	此物从地上洞孔或石板之间冒出。此物用作装饰，流动飞快，若是没有了它，神圣饰品的神圣性就会大打折扣。此物聚散无常，四处流动，没有了它，人像就会黯然失色，艺术品会因此而黯淡无光。此物滴漏难捉，却可以保持纯洁。孩子，拾取它们还是弃之不顾，就看你的选择了，但是要注意，最关键的还是你要用它们做什么。	It emerges from the pores of the earth. From between the flagstones. It is the silver of the ornaments, desperate to flee, to escape from them and turn from their sanctity. It detaches itself, it slips away, leaving the figures naked of its embrace, leaving the works of art orphans of brightness. It leaks through and hides under our feet, only to then sprout again free of impurity. It is your choice, my son, to pick them up or to leave them, but beware of the purpose you put them to.	Surge por los poros de la tierra. De entre las losas. Es plata de los ornamentos, que quiere huir, escapar de ellos y alejarse de la santidad. Se despega, se desliza, dejando a las figuras desnudas de su baño, dejando a las obras de arte huérfanas de brillo. Se filtra y oculta bajo nuestros pies para luego brotar de nuevo libres de impureza. Es vuestra elección, hijo mío, recogerlas o dejarlas estar, mas cuídate del uso que vayáis a darle.
QuestItem/QI104_CAPTION	水银	Quicksilver	Azogue
QuestItem/QI104_DESCRIPTION	一个被奇迹触碰过的银液之球。异国他乡的炼金师将其带至古斯托迪亚，那时交通开放，土路泥道上可谓络绎不绝。只要时机得当，它就可以重获自身蕴藏的治疗之力，说来可叹，炼金术的奥义早在许久之前就已经失传了。	A sphere of liquid silver touched by the Miracle. Brought to Cvstodia by alchemists from distant lands, back when the roads were still open and the wagons left furrows in the mud. In the right hands, its latent healing powers could be revived, but alas, the art of alchemy was lost many eons ago.	"Esfera de plata líquida tocada por el Milagro. Traída a Cvstodia por alquimistas de tierras lejanas, cuando las rutas seguían abiertas y las carretas dejaban surcos en el barro. Las manos adecuadas pueden sacar a relucir sus latentes propiedades curativas, pero el arte de la alquimia se perdió hace mucho. "
QuestItem/QI104_LORE	此物从地上洞孔或石板之间冒出。此物用作装饰，流动飞快，若是没有了它，神圣饰品的神圣性就会大打折扣。此物聚散无常，四处流动，没有了它，人像就会黯然失色，艺术品会因此而黯淡无光。此物滴漏难捉，却可以保持纯洁。孩子，拾取它们还是弃之不顾，就看你的选择了，但是要注意，最关键的还是你要用它们做什么。	It emerges from the pores of the earth. From between the flagstones. It is the silver of the ornaments, desperate to flee, to escape from them and turn from their sanctity. It detaches itself, it slips away, leaving the figures naked of its embrace, leaving the works of art orphans of brightness. It leaks through and hides under our feet, only to then sprout again free of impurity. It is your choice, my son, to pick them up or to leave them, but beware of the purpose you put them to.	Surge por los poros de la tierra. De entre las losas. Es plata de los ornamentos, que quiere huir, escapar de ellos y alejarse de la santidad. Se despega, se desliza, dejando a las figuras desnudas de su baño, dejando a las obras de arte huérfanas de brillo. Se filtra y oculta bajo nuestros pies para luego brotar de nuevo libres de impureza. Es vuestra elección, hijo mío, recogerlas o dejarlas estar, mas cuídate del uso que vayáis a darle.
QuestItem/QI105_CAPTION	水银	Quicksilver	Azogue
QuestItem/QI105_DESCRIPTION	一个被奇迹触碰过的银液之球。异国他乡的炼金师将其带至古斯托迪亚，那时交通开放，土路泥道上可谓络绎不绝。只要时机得当，它就可以重获自身蕴藏的治疗之力，说来可叹，炼金术的奥义早在许久之前就已经失传了。	A sphere of liquid silver touched by the Miracle. Brought to Cvstodia by alchemists from distant lands, back when the roads were still open and the wagons left furrows in the mud. In the right hands, its latent healing powers could be revived, but alas, the art of alchemy was lost many eons ago.	"Esfera de plata líquida tocada por el Milagro. Traída a Cvstodia por alquimistas de tierras lejanas, cuando las rutas seguían abiertas y las carretas dejaban surcos en el barro. Las manos adecuadas pueden sacar a relucir sus latentes propiedades curativas, pero el arte de la alquimia se perdió hace mucho. "
QuestItem/QI105_LORE	此物从地上洞孔或石板之间冒出。此物用作装饰，流动飞快，若是没有了它，神圣饰品的神圣性就会大打折扣。此物聚散无常，四处流动，没有了它，人像就会黯然失色，艺术品会因此而黯淡无光。此物滴漏难捉，却可以保持纯洁。孩子，拾取它们还是弃之不顾，就看你的选择了，但是要注意，最关键的还是你要用它们做什么。	It emerges from the pores of the earth. From between the flagstones. It is the silver of the ornaments, desperate to flee, to escape from them and turn from their sanctity. It detaches itself, it slips away, leaving the figures naked of its embrace, leaving the works of art orphans of brightness. It leaks through and hides under our feet, only to then sprout again free of impurity. It is your choice, my son, to pick them up or to leave them, but beware of the purpose you put them to.	Surge por los poros de la tierra. De entre las losas. Es plata de los ornamentos, que quiere huir, escapar de ellos y alejarse de la santidad. Se despega, se desliza, dejando a las figuras desnudas de su baño, dejando a las obras de arte huérfanas de brillo. Se filtra y oculta bajo nuestros pies para luego brotar de nuevo libres de impureza. Es vuestra elección, hijo mío, recogerlas o dejarlas estar, mas cuídate del uso que vayáis a darle.
QuestItem/QI106_CAPTION	石化钟铃	Petrified Bell	Campanilla petrificada
QuestItem/QI106_DESCRIPTION	虽然苦修没能完成，但这块石头上却生出了奇异的花株。没有人看它的时候，它的花茎会弯向圣途森林。@石瓣即象征着悲恸奇迹，警示着世人，定会有沉睡之物苏醒过来。	A strange flower sprouting from the very rock itself in payment for an incomplete penance. Its stem bends when no one looks at it, pointing towards the Forest of the Holy Line.@The stone petals are signs of the Sorrowful Miracle, warnings that something sleeping must wake.	Extraña flor brotada de la propia roca en pago a una penitencia incompleta. Su tallo se dobla cuando nadie la mira, apuntando hacia el Bosque de la Santa Línea.@@Las pétalos de piedra son señales del Milagro Doloroso, avisos de que algo dormido debe despertar.
QuestItem/QI106_LORE	「你为什么要选择我？为何我会感觉到你在我的肉体中，在我的肌肤内，在我的血液里？若是惩罚，请至少跟我稍讲一下，如此我才能明白你为什么会让我不醒不眠。愿我的躯体能因你而摧残，愿我的双臂能将你束缚，愿你呼唤我的名字时我的眼睛能够睁开。将我关在石头中吧，让这石头成为替我打开牢笼的钥匙。」	Why have you chosen me? Why do I feel you in my flesh, in my skin, in my blood? Punishment, say at least one word so I can understand why you keep me prisoner between sleep and wakefulness. May my body break for you. My arms be bound for you. My eyes awaken when you call me by name. Confine me to the stone room and let the stone itself be the key that sets me free.	"""¿Por qué me habéis elegido? ¿Por qué os siento en mi carne, en mi piel, en mi sangre? Castigo, decidme al menos una palabra para comprender por qué me dejáis prisionero entre el sueño y la vigilia. Quiébrese mi cuerpo por vos. Átense mis brazos por vos. Despiértense mis ojos cuando me llaméis por el nombre. Recluidme en la estancia de piedra y que la misma piedra sea la llave que me libere."""
QuestItem/QI107_CAPTION	金绣诗	Verses Spun from Gold	Versos hilados de oro
QuestItem/QI107_DESCRIPTION	诗章的残段，用金线绣在蓝绸上面。世上已知的诗歌中并无此诗。@金线似乎充满生命力，在绸子上蛇形如飞，而它们绣成的诗句，同样充满灵性。	A fragment of a stanza, embroidered in gold thread on blue silk. It does not belong to any known song.@The golden threads move with a life of their own, snaking through the fabric; but the verses they form are always the same.	Fragmento de una estrofa, escrita en hilo de oro sobre seda azul. No pertenece a ninguna canción conocida.@@Las hebras doradas se mueven con vida propia, serpenteando a través de la tela, mas los versos que forman son siempre los mismos.
QuestItem/QI107_LORE	旦升夜息@不晦不寒	Night, you sleep when the sun shines@Forget your cold and your gloom	Noche, que duermes a cuatro soles@@Olvida tus fríos y tus azules
QuestItem/QI108_CAPTION	金绣诗	Verses Spun from Gold	Versos hilados de oro
QuestItem/QI108_DESCRIPTION	诗章的残段，用金线绣在蓝绸上面。世上已知的诗歌中并无此诗。@金线似乎充满生命力，在绸子上蛇形如飞，而它们绣成的诗句，同样充满灵性。	A fragment of a stanza, embroidered in gold thread on blue silk. It does not belong to any known song.@The golden threads move with a life of their own, snaking through the fabric; but the verses they form are always the same.	Fragmento de una estrofa, escrita en hilo de oro sobre seda azul. No pertenece a ninguna canción conocida.@@Las hebras doradas se mueven con vida propia, serpenteando a través de la tela, mas los versos que forman son siempre los mismos.
QuestItem/QI108_LORE	旭日之辉@洞炬雾霭	It's the light of a sunrise@With lanterns clearing the brume	Es la luz de la aurora@@Que levanta tu velo con sus faroles
QuestItem/QI109_CAPTION	金绣诗	Verses Spun from Gold	Versos hilados de oro
QuestItem/QI109_DESCRIPTION	诗章的残段，用金线绣在蓝绸上面。世上已知的诗歌中并无此诗。@金线似乎充满生命力，在绸子上蛇形如飞，而它们绣成的诗句，同样充满灵性。	A fragment of a stanza, embroidered in gold thread on blue silk. It does not belong to any known song.@The golden threads move with a life of their own, snaking through the fabric; but the verses they form are always the same.	Fragmento de una estrofa, escrita en hilo de oro sobre seda azul. No pertenece a ninguna canción conocida.@@Las hebras doradas se mueven con vida propia, serpenteando a través de la tela, mas los versos que forman son siempre los mismos.
QuestItem/QI109_LORE	唤声高起@雅歌绕栏	On the balconies, it calls@On the balconies, it sings	En los balcones ya canta@@En los balcones ya suena
QuestItem/QI10_CAPTION	熔金硬币	Melted Golden Coins	Monedas Doradas Derretidas
QuestItem/QI10_DESCRIPTION	三枚金币熔在了一起，虽然算不上规整，但仍光泽闪闪	Three gold pieces melted into a distorted mass that never loses its shine.	Tres monedas de oro fundidas en una masa informe pero que nunca perdió su brillo.
QuestItem/QI10_LORE	"第三：「我当时在场，我看到了那个…东西。姐妹们的头发不断生长纠缠、咔咔作响，将她们完全包裹了起来，就像一枚蛋一样，一枚头发包成的毛蛋」 "	"No. 3 ""I was there, I bore witness to that... creation. The hairs of the sisters grew and braided, wrapping around them, making a terrifying crunching noise until it covered them completely, shaping itself as an egg, an egg made of rough, knotty hair."""	"#3 ""Estuve presente, fui uno de los testigos de aquella... creación. Los cabellos de las hermanas crecían y se trenzaban, les daba la vuelta emitiendo un crujido espantoso hasta que las cubrió por completo formando un huevo, de cabello áspero, nudoso."""
QuestItem/QI110_CAPTION	金绣诗	Verses Spun from Gold	Versos hilados de oro
QuestItem/QI110_DESCRIPTION	诗章的残段，用金线绣在蓝绸上面。世上已知的诗歌中并无此诗。@金线似乎充满生命力，在绸子上蛇形如飞，而它们绣成的诗句，同样充满灵性。	A fragment of a stanza, embroidered in gold thread on blue silk. It does not belong to any known song.@The golden threads move with a life of their own, snaking through the fabric; but the verses they form are always the same.	Fragmento de una estrofa, escrita en hilo de oro sobre seda azul. No pertenece a ninguna canción conocida.@@Las hebras doradas se mueven con vida propia, serpenteando a través de la tela, mas los versos que forman son siempre los mismos.
QuestItem/QI110_LORE	消乎吾罪@群星阑干	Gathering up all the stars@Lifting the weight of my sins	Con ella se van las estrellas@@Con ella se va mi condena
QuestItem/QI11_CAPTION	撕裂的婚礼素带	Torn Bridal Ribbon	Cinta Nupcial Rasgada
QuestItem/QI11_DESCRIPTION	这条轻柔的白色丝带是在婚礼上使用的，现在已被撕裂，上面的绣饰也被损毁。这是未完成的婚礼上的三件遗物之一，破碎的誓言造成的伤痛如今也是难以平复	This soft white ribbon, used during marriage ceremonies, has been torn, thus destroying its delicate embroideries. One of the three remains of an unfinished ceremony. The wounds inflicted by a broken oath rarely ever find healing.	Esta suave y blanca cinta utilizada durante los casamientos ha sido rasgada destruyendo sus delicados bordados. Uno de los tres vestigios de una ceremonia inacabada. Las heridas causadas por un juramento roto difícilmente encuentran sanación.
QuestItem/QI11_LORE	"第一：「没错，兄弟，自从那天三姐妹相互拥抱祈祷，祈求奇迹能帮她们免于婚礼以来，我已经好久没主持婚礼了」 "	"No. 1 ""Yes, brother, it's been a long time since I stopped officiating nuptials. Since the day those three sisters embraced each other, praying, since the day they asked the Miracle itself to help them to avoid such a holy bond."""	"#1 ""Sí, hermano, hace mucho tiempo que dejé de oficiar casamientos. Desde el día en que aquellas tres hermanas se abrazaron rezando, desde que pidieron ayuda al Milagro mismo para evitar tal santo enlace."" "
QuestItem/QI12_CAPTION	丧灵黑纱	Black Grieving Veil	Velo Negro de Luto
QuestItem/QI12_DESCRIPTION	虽然已经过去多年，但这块黑纱仍然然丝滑如初。这是未完成的婚礼上的三件遗物之一，破碎的誓言造成的伤痛如今也是难以平复	Dark cloth that has kept its silky feel despite the passing of the years. One of the three remains of an unfinished ceremony. The wounds inflicted by a broken oath rarely ever find healing.	Oscura tela que ha mantenido su sedoso tacto a pesar de los años. Uno de los tres vestigios de una ceremonia inacabada.@Las heridas causadas por un juramento roto difícilmente encuentran sanación.
QuestItem/QI12_LORE	第二：「她们在祷文里说了什么谁也不知道，大家也想不通她们为何要拒绝婚礼。奇迹痛下决心，帮助她们完成了心愿，这算不算帮助就由你定夺了」	"No. 2 ""No one knows what they asked for in that prayer, nor why they didn't want to be wedded. The Miracle, with its grievous plans, went to the aid of the sisters, if you can call that aid."""	"#2 ""Nadie sabe qué fue lo que pidieron en aquel rezo ni porqué no querían ser casadas. El Milagro, con sus dolorosos designios, acudió al amparo de las hermanas, si es que se le puede llamar amparo a eso."""
QuestItem/QI13_CAPTION	畸形卵	Egg of Deformity	Óvulo de la Deformidad
QuestItem/QI13_DESCRIPTION	奇形怪状的憎恶之卵，在祈祷者眼中，它长满毛发的外壳之中蕴藏着深不可测的奥秘。誓言破碎，阿塔吉拉卡斯因之而生，而苦难又将伤悲注入她的肉体当中	Hirsute egg, born of abomination. Its hairy shell hides unfathomable mysteries from prying eyes. The cruelty of a broken promise shaped Altasgracias, and the Affliction made her sorrows into flesh.	Huevo de pelo, nacido de la aberración. Su velludo cascarón oculta insondables misterios de miradas inadecuadas. La crueldad de una promesa rota dio forma a Altasgracias, y la Aflicción hizo carne sus penurias.
QuestItem/QI13_LORE	我们将把声音注入卵中，我们的舌头会不断地缠绕生长，总有一天会助我们逃脱。这可是我们从未拥有过的自由之结。我们的头发会隔绝温度，直到余烬的热量使其孵化开来	We will enclose our voices inside this egg, our tongues that endlessly twist and grow in order to escape. Knots of a freedom we never had. Our hair will cover this ovum with cold until the heat of embers makes it hatch.	Nosotras guardaremos en este huevo nuestras voces, nuestras lenguas que se retorcerán  para crecer y escapar. Nudos de la libertad que nunca tuvimos. Nuestro pelo cubrirá de frío este óvulo hasta que el calor de unas brasas lo haga eclosionar.
QuestItem/QI14_CAPTION	孵化的畸形卵	Hatched Egg of Deformity	Óvulo Eclosionado de la Deformidad
QuestItem/QI14_DESCRIPTION	奇形怪状的憎恶之卵，在祈祷者眼中，它长满毛发的外壳之中蕴藏着深不可测的奥秘。誓言破碎，阿塔吉拉卡斯因之而生，而苦难又将伤悲注入她的肉体当中	Hirsute egg, born of abomination. Its hairy shell hides unfathomable mysteries from prying eyes. The cruelty of a broken promise shaped Altasgracias, and the Affliction made her sorrows into flesh.	Huevo de pelo, nacido de la aberración. Su velludo cascarón oculta insondables misterios de miradas inadecuadas. La crueldad de una promesa rota dio forma a Altasgracias, y la Aflicción hizo carne sus penurias.
QuestItem/QI14_LORE	我们将把声音注入卵中，我们的舌头会不断地缠绕生长，总有一天会助我们逃脱。这可是我们从未拥有过的自由之结。我们的头发会隔绝温度，直到余烬的热量使其孵化开来	We will enclose our voices inside this egg, our tongues that endlessly twist and grow in order to escape. Knots of a freedom we never had. Our hair will cover this ovum with cold until the heat of embers makes it hatch.	Nosotras guardaremos en este huevo nuestras voces, nuestras lenguas que se retorcerán  para crecer y escapar. Nudos de la libertad que nunca tuvimos. Nuestro pelo cubrirá de frío este óvulo hasta que el calor de unas brasas lo haga eclosionar.
QuestItem/QI19_CAPTION	迷迭香束	Bouquet of Rosemary	Ramillete de Romero
QuestItem/QI19_DESCRIPTION	一束香草，不久之前在圣途森林遍地都是。如今这种香草十分稀缺，变得弥足珍贵，对于那些看到它们医药效果的人来说，这种植物尤为珍贵	Bunch of aromatic herbs, common not long ago along the Forest of the Holy Trail. Today, however, their scarcity makes them increasingly valuable, especially for those who discern their healing abilities.	Manojo de yerbas aromáticas, comúnmente encontradas en el Bosque de la Santa Línea no hace mucho tiempo. Hoy, sin embargo, su escasez las hace cada vez más preciadas, sobre todo por aquellos que disciernen sus capacidades curativas.
QuestItem/QI19_LORE	蒂尔索忏悔录·第五@@「圣会的成员又惊又俱地看着，除了我们姐妹中的一员，她在我身边跪下，亲吻了一个被感染的年轻人溃烂的伤口，丝毫不怕被感染，之后，伤口便愈合了。于是众兄弟跪倒在地，泪流满面，齐声祈祷」	"Confessions of Tirso. Part 5@@""Congregation members, witnesses to the phenomenon, watched in astonishment and fear, except for one of our sisters, who knelt beside me, and, without fear of contagion, kissed one of the terrible sores that the affection had caused on the young man, and the wound began to close. The brothers fell to their knees, amidst tears and prayers."""	"Confesiones de Tirso. Parte 5@@""Los miembros de la congregación, testigos de aquel fenómeno, miraban asombrados y asustados. Todos salvo una de nuestras hermanas que se arrodilló a mi lado, y sin temor al posible contagio besó una de las terribles llagas que aquella afección había causado en el joven. La herida empezó entonces a cerrarse, los hermanos cayendo de rodillas entre llantos y rezos."""
QuestItem/QI201_CAPTION	爆裂的叛徒右眼	Severed Right Eye of the Traitor	Diestra Mirada Seccionada del Traidor
QuestItem/QI201_DESCRIPTION	一颗纯金眼球，装饰着伊西多拉之镰，她会为亡者歌唱安魂曲。叛徒被打入无尽的黑暗，而他的眼球也从他那熔化的脸上摘了下来，因为他看到的太多了。藏骨仕女奉命监视他，而曾经与她共同高歌的骨头也在这黑暗的角落里找到了新的坟墓。	An eyeball of solid gold that adorned the scythe of Isidora, the singer of the dead. Condemned to an eternity of deep-rooted darkness, the melted face of the Traitor was also robbed of his eyes for he had seen too much. The lady of the ossuary was charged to watch over him, and the bones that used to sing with her found a new tomb in the darkest of corners.	Globo ocular de oro macizo que adornaba la guadaña de Isidora, cantora de los muertos. Castigado a una eternidad de enraizada oscuridad, el rostro derretido del Traidor fue además despojado de sus ojos, pues había visto demasiado. La dama del osario fue encargada de su custodia, y los huesos que antes cantaban con ella encontraron nueva tumba en los más recónditos rincones.
QuestItem/QI201_LORE	孩子们打开屋门，在她大喊“伊西多拉！给我们唱一曲吧，伊西多拉！”之后，全都跑了出去。虽然伊西多拉那晚穿了华丽的舞台装，但仍然没有为他们歌唱。@ 她反而是向公墓走去，在通往阿尔贝罗教堂藏骨堂地穴的入口处停了下来。着迷的孩子们感到了铁门之后的寂静，这时她开始放声吟咏无人能识的诗歌。少顷，人们又听到了另一个远处的声音，这声音与地穴深处那悲伤的旋律组成了美妙的哀歌二重唱。之后这位女士便穿过石拱门，关上了身后的大门。当她的声音消失在远方时，越来越多的声音开始与她共吟，就好像地下有十多人的唱诗班在等待着她一样。歌声临近尾声时，人们听到地下传来一连串响声，孩子们哭着走了出来，墓穴又恢复了往昔的安静。@这位女歌手再也没有现身，从此人们都记住了藏骨圣女伊西多拉，还有亡者发出的声音。	The children opened the doors of their houses and ran out after her shouting, “Isidora! Sing to us, Isidora!” But, still dressed in one of her flamboyant stage outfits, Isidora did not sing to them that night.@Instead she headed towards the cemetery and stopped before the entrance to the crypt that connects to the ossuary beneath the old Church of Albero. The intrigued children fell silent behind the iron gates. And it was then that she began to intone verses that no one had ever heard before. After a short while, another distant voice could be heard, accompanying the sad melody from the depths of the crypt, forming a beautiful yet mournful duet. The lady then walked through the stone archway, closing the door behind her. As her voice faded into the distance, more and more voices joined with her, as if a great choir of dozens was awaiting her at the bottom of the steps. When the song came to an end and they heard the final strains rise up from beneath the ground, the children walked away with tears in their eyes, and the cemetery recovered its usual silence.@Never again was the singing lady seen, and ever since she has been remembered as Isidora, the Lady of the Ossuary and the voice of the dead.	"Los niños abrían las puertas de las casas y salían corriendo tras ella gritando ""¡Isidora! ¡Cántanos, Isidora!"" Pero ella, aun llevando puesto uno de los llamativos vestidos que usaba para sus actuaciones, no les cantaría esa noche.@La dama se dirigió al cementerio y se detuvo a la entrada de la cripta que conecta con el osario, bajo la vieja Iglesia de Albero. Los niños, intrigados, callaron tras la verja de hierro. Fue entonces cuando comenzó a entonar unos versos que nadie había escuchado nunca antes. Al poco tiempo se podía divisar otra lejana voz, que acompañaba a la triste melodía desde el fondo de la cripta, formando así un bello, aunque lúgubre diálogo. La dama atravesó el arco de piedra, cerrándose la puerta tras ella. Mientras la voz de la cantaora se iba perdiendo, más y más voces se le iban uniendo, como si un gran coro de decenas de miembros la estuvieran esperando al final de las escaleras. Al terminar la canción, oyéndose apagados sus últimos compases bajo la propia tierra, los niños se marcharon con lágrimas en los ojos, y el cementerio recobró su silencio habitual.@Nunca más se volvió a ver a la cantaora, y desde entonces se la recuerda como Isidora, la Dama del Osario, la voz de los muertos."
QuestItem/QI202_CAPTION	爆裂的叛徒左眼	Broken Left Eye of the Traitor	Siniestra Mirada Quebrada del Traidor
QuestItem/QI202_DESCRIPTION	这是从深渊野兽眼窝中抠出的黄金眼球。背叛者被驱逐到这个界域，被罚要铭记他所直视的真相。他的一只眼睛被送到了海中，从此音信全无，但是吞噬这颗眼球的海水从此变成了吞噬船只的墓地，胆敢从此经过的船只无不葬身海底	Eyeball forged in gold, torn from the socket of a beast from the depths. The Traitor was banished to this world, condemned to remember the truth he had dared to gaze upon. One of the eyes was delivered to the sea and no more was heard of it, but the waters that engulfed it became the burial ground of any vessel that ventured to sail through them.	Globo ocular forjado en oro, arrancado de la cuenca de una bestia de las profundidades. El Traidor fue desterrado a este mundo, condenado a recordar la verdad que se había atrevido a contemplar. Uno de los ojos fue entregado a la mar y nunca más se supo más de él, mas las aguas que lo engulleron se tornaron cementerio de todo navío que osara a surcarlas.
QuestItem/QI202_LORE	“我诅咒你。在黑暗水域下，你的影子将被怪异神文环绕，然后缩成一团。你的白鳞将在月光下反射出惨白的光。诅咒你那无形之颈上的宝石，诅咒你那金眼，它可以招引他人，令人争风而死”	“A curse on you. A curse on your shadow beneath the dark waters that writhes around knotted in strange hieroglyphics. A curse on your white scales that reflect the pale light of our moons. A curse on the jewels that adorn your shapeless necks. And a curse on the Eye, your golden eye that beckons to men and storms to die before you.”	“Maldita seáis. Maldita sea vuestra sombra bajo las aguas oscuras que se retuerce anudada en extraños jeroglíficos, maldita sean vuestras escamas blancas que reflejan la luz pálida de nuestras lunas. Maldita sean las joyas que os adornan vuestras nucas sin forma. Y maldito sea el Ojo, vuestro ojo de oro que llama a hombres y a tormentas a morir ante vos.”
QuestItem/QI203_CAPTION	残缺的肩衣	Incomplete Scapular	Escapulario Incompleto
QuestItem/QI203_DESCRIPTION	半件肩衣，末端有红绳拴着一尊扭曲者的雕像。下面这句话被刻入了抛光木头之中，而且几乎已经被热忱信徒的手摸没了 @ “虽隔天涯，你我为一。@以斯德拉”	"Half of a scapular, with an effigy of the Twisted One that hangs at the end of a fine crimson cord. These words, almost worn away by the repeated caresses of zealous fingers, are carved into the polished wood.@""Even at a distance we are together, always. @Esdras."""	"La mitad de un escapulario, con una efigie del Retorcido que cuelga al final de un fino cordón carmesí. Unas palabras están talladas en la pulida madera, casi borradas por la repetida caricia de dedos fervorosos.@""Aún en la distancia estamos juntos, siempre. @@Esdras."""
QuestItem/QI203_LORE	“战争终于结束了，兄弟。不要担心我的伤势…我的双眼闭上时，神迹会带我去见圣父。这是我的半件肩衣，记住，如果你想将两件合而为一，那都是因为我的意愿。@兄弟，擦干眼泪吧。我必需走了，但我的声音会与你长在。”	"""The battle is over at last, brother. Do not concern yourself with my wounds... When my eyes close, the Miracle will take me with the Father. Here, this is half of my scapular. Remember that if you manage to reunite the two halves, it will be because I wished it so. @My brother, dry your tears. Although I must go, my voice will be yours forever."""	“La batalla ha terminado al fin, hermano. No os preocupéis por mis heridas... Cuando se cierren mis ojos el Milagro me llevará con el Padre. Tomad, esta es la mitad de mi escapulario. Recordad que si alguna vez reunís de nuevo las dos mitades será porque así lo he querido. @Hermano mío, secad vuestras lágrimas. Aunque me yo me marche ahora tendréis mi voz para siempre.”
QuestItem/QI204_CAPTION	扭木之钥	Key Grown from Twisted Wood	Llave Crecida En Madera Retorcida
QuestItem/QI204_DESCRIPTION	一把笨重的钥匙，直接生于树干之上。它的表面经过抛光，像是一个神奇的雕塑，上面有三个显眼的结，是用来做钥匙齿的。钥匙头上覆有熔金，这是对古斯托迪亚地下囚笼中的叛徒仅有的尊重。	A ponderous key, grown straight from the trunk of a tree. Its surface is polished like an impossible carving, except for three striking knots that serve as teeth. A layer of molten gold covers its head, the only show of deference to the Traitor who was locked up in the deepest roots of Cvstodia.	Una pesada llave, crecida directamente del tronco de un árbol. Su superficie está pulida como una imposible talla, excepto por tres llamativos nudos que hacen las veces de dientes. Una capa de oro derretido cubre su cabeza, la única deferencia al Traidor que fue encerrado en las raíces más profundas de Cvstodia.
QuestItem/QI204_LORE	狄俄索达多静静地观察着这枚木钥匙，空气中只有他的呼吸在跃动。停了许久之后，他最终说道：“不，世间没有这样的钥匙了。”然后他开始踱步，倚在灯上，焦躁地环顾四周，想要找到那扇奇怪的大门，好用钥匙打开。他沿着走廊走了几步，抱满了落满灰尘的书卷，破烂的书架在潮湿的空气中腐坏，架子上堆满了以往的书箱，突然他听到了研磨的声音：这把生结的木钥匙在他手中振动，而且变得越来越扭曲。那时他才意识到，他找到了自己要找的门。	Diosdado observed that singular wooden key in a silence disturbed only by the rattle of his own breathing. After a long pause he finally said, “No, there is no other key like this.” Then he began to walk, leaning on the lamp that he used as a stick, and looking around anxiously, trying to find something that would help him remember the place where the strange door could be found, in whose lock this unusual key would fit. He walked down long hallways, crammed with dusty tomes, past bookcases filled with ramshackle wooden shelves that had long ago rotted in the humid air, when suddenly he heard a grinding sound the key of knotted wood was stirring in the palm of his hand and seemed to be twisting more and more. It was then that he realised he had found the door he was looking for.	Diosdado observó aquella singular llave de madera, en el silencio perturbado solo por los estertores de su propia respiración. Tras una larga pausa se dijo por fin “No, no hay ninguna llave que se parezca a esta”. Entonces comenzó a caminar ayudándose de su lámpara, que le servía a su vez de bastón, mirando con ansiedad a su alrededor, intentando encontrar algo que le ayudara a recordar el lugar donde se encontraba aquella extraña puerta, en cuya cerradura encajaba tan particular llave. Caminaba por largos pasillos atestados de polvorientos libros, y por estancias repletas de desvencijados estantes de madera, podridos hacía ya largo tiempo por la intensa humedad, cuando oyó un crujido la llave de madera anudada se estaba agitando en la palma de su mano y parecía que se torcía cada vez más y más. Comprendió entonces que había encontrado la puerta que buscaba.
QuestItem/QI20_CAPTION	芳香蒜头	Incense Garlic	Ajo de Incienso
QuestItem/QI20_DESCRIPTION	这种蒜色白如骨，世间罕见。它的檀木芳香只有在雨天才能闻得到，它的香气十分奇特，草药医师嗅觉灵敏，会循着香气找出香蒜	Bulb white as bone, very hard to find. Its intense aroma, reminiscent of sandalwood, is only noticeable on rainy days, betraying its hiding place. It was sought after by the herbalists with the best sense of smell for its miraculous properties.	Bulbo blanco como el hueso, muy difícil de encontrar. Su intenso aroma, que recuerda al perfume del sándalo, se desprende sólo en días lluviosos, traicionando su escondite. Los herbolarios con mejor olfato lo buscaban para sus brebajes, por sus propiedades milagrosas.
QuestItem/QI20_LORE	蒂尔索忏悔录·第六@@「自那之后，亲吻伤口的那位姐妹又从奇迹的怒火之中拯救了数以百计的感染者，从此之后，我们的圣会就被称作舐伤圣会」	"Confessions of Tirso. Part 6@@""Ever since then, our pious kisses have saved hundreds from the affection of the Miracle that ravages these lands, and from then on our congregation has been called that of the Kissers of Wounds."""	"Confesiones de Tirso. Parte 6@@""Desde entonces nuestros besos piadosos han salvado a cientos de la afección del Milagro que desola estas tierras y desde entonces nuestra congregación es llamada la de los Besadores de Llagas."""
QuestItem/QI301_CAPTION	克己圣痕	Holy Wound of Abnegation	Santa Llaga de la Abnegación
